
2024/03/14 (11:09:40) | ===> btop++ v.1.3.2
2024/03/14 (11:09:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/14 (13:15:33) | ===> btop++ v.1.3.2
2024/03/14 (13:15:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/14 (13:43:59) | ===> btop++ v.1.3.2
2024/03/14 (13:43:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/14 (15:34:24) | ===> btop++ v.1.3.2
2024/03/14 (15:34:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/17 (08:49:12) | ===> btop++ v.1.3.2
2024/03/17 (08:49:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/17 (10:47:57) | ===> btop++ v.1.3.2
2024/03/17 (10:47:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/18 (09:45:57) | ===> btop++ v.1.3.2
2024/03/18 (09:45:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
