
2024/03/14 (11:09:40) | ===> btop++ v.1.3.2
2024/03/14 (11:09:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/14 (13:15:33) | ===> btop++ v.1.3.2
2024/03/14 (13:15:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/14 (13:43:59) | ===> btop++ v.1.3.2
2024/03/14 (13:43:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/14 (15:34:24) | ===> btop++ v.1.3.2
2024/03/14 (15:34:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/17 (08:49:12) | ===> btop++ v.1.3.2
2024/03/17 (08:49:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/17 (10:47:57) | ===> btop++ v.1.3.2
2024/03/17 (10:47:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/18 (09:45:57) | ===> btop++ v.1.3.2
2024/03/18 (09:45:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/06/10 (16:29:49) | ===> btop++ v.1.3.2
2024/06/10 (16:29:49) | ERROR: Stall in Runner thread, restarting!
2024/06/10 (16:32:36) | ERROR: Stall in Runner thread, restarting!
2024/06/10 (16:35:55) | ERROR: Stall in Runner thread, restarting!

2024/06/10 (16:37:55) | ===> btop++ v.1.3.2
2024/06/10 (16:37:56) | ERROR: Stall in Runner thread, restarting!

2024/06/12 (15:59:12) | ===> btop++ v.1.3.2
2024/06/12 (15:59:12) | ERROR: Stall in Runner thread, restarting!

2024/07/18 (12:21:46) | ===> btop++ v.1.3.2
2024/07/18 (12:21:46) | ERROR: Stall in Runner thread, restarting!

2024/07/18 (13:49:42) | ===> btop++ v.1.3.2
2024/07/18 (13:49:42) | ERROR: Stall in Runner thread, restarting!
